-0.1296,0.5858,0.7464,-0.0639,0.2383
-0.4308,1.4845,0.5245,0.0052,0.4391
-0.7324,0.9216,-0.3323,0.3367,1.4715
-0.1714,1.3775,0.6642,0.944,-0.0939
-0.0896,2.4754,1.3261,-0.2401,-0.0096
-1.3319,2.7198,0.7285,-0.947,-0.1524
0.1482,1.5877,1.1531,-1.114,1.1783
-0.228,1.013,0.7899,-1.5152,-0.7757
0.147,1.2441,1.306,-1.6565,0.1059
-1.0171,2.6623,0.2779,-0.4498,-0.2909
-0.7086,2.5254,1.1037,-0.3895,0.4474
0.4087,1.8635,-0.811,0.8392,1.3584
1.0905,2.0119,-0.1718,-0.4404,0.1896
-0.6039,0.7359,-1.0084,0.1731,-0.4917
-0.3807,2.0089,0.1481,-1.3549,0.3745
0.5355,2.1044,-0.1069,-1.8239,1.1122
0.8551,1.7229,0.1733,-2.8256,1.6353
0.0973,1.6247,0.659,-0.113,-0.0987
-0.9255,0.3439,-0.1198,-1.106,0.4282
0.5635,1.2039,0.6692,-1.2057,0.7719
-0.004,0.778,-0.5217,2.2405,0.4557
0.3401,1.2747,1.6188,1.6801,-0.5359
-0.0055,2.3973,-0.7291,-2.4188,-1.2645
0.3638,2.2782,0.4288,-1.3452,-0.4592
1.0257,1.4451,0.9131,-0.9979,-1.187
-0.1721,-0.0374,-0.6768,-1.4136,0.5099
0.5103,1.2935,-0.6657,-1.2175,0.0837
-1.2336,0.6272,1.0677,-0.9064,1.0558
-0.3684,2.6435,1.4136,-0.2492,1.3509
-0.983,1.8789,-0.1444,-0.4577,2.8801
-0.6672,1.8461,-0.4032,-1.0995,1.7367
-0.3554,3.3876,-0.7182,-0.685,-0.8299
0.2944,2.8957,0.5822,0.3793,-1.8764
0.5503,2.2166,-0.7383,0.1731,-0.6523
0.6259,2.632,-0.1981,-0.5563,-0.1978
-0.4862,1.4173,-0.2433,-0.3615,-0.0875
-0.7551,0.6746,0.9807,-2.2988,-0.7517
-2.0251,1.0848,0.1498,-0.6849,2.0354
-0.2871,0.5211,-0.7081,-0.1849,-0.3637
-1.7148,-0.3362,-1.1698,-0.223,0.432
-0.2711,0.7591,-0.1857,-1.4053,0.3144
0.1914,1.0961,-0.2028,0.268,0.3512
-0.4043,2.1118,0.0125,-0.1173,-0.2235
-0.6563,0.8649,-0.6775,-0.5141,0.0577
0.402,-0.3822,-0.423,1.726,1.4989
-1.6336,0.0753,1.1831,0.8924,-0.1927
-0.3483,1.8393,0.0261,0.4296,-0.1655
-0.715,0.463,-0.2333,-2.0036,-0.8421
0.2561,1.2222,0.1983,-0.5264,-0.0749
1.3492,1.1891,-0.1843,-1.9547,1.2783
0.3235,-0.6479,-1.6508,-1.4374,1.3519
0.1001,0.3454,0.0789,-1.7386,1.3392
0.0204,-0.2502,0.7977,-1.844,0.7826
0.2744,-0.3426,-1.066,-0.0679,0.0175
0.3459,0.8167,-1.3094,0.1758,1.7558
0.764,1.1071,-1.7912,0.3262,0.611
-0.0067,0.9095,-0.4292,-0.4828,-0.2304
-1.2191,-0.3351,-1.4052,-0.1168,0.0012
-1.5158,0.9571,-1.0499,-0.4013,0.701
1.1829,0.2298,-2.22,-0.0439,0.2355
-0.9516,-0.2683,-0.7267,-1.306,0.616
